"","ID","Nazwa","prize","base_shop_url","shop_url"
"131",37,"Lodówka BEKO MCNE366E40ZXBN HarvestFresh Nofrost A++",1799,"mediaexpert.pl","https://www.mediaexpert.pl/agd/lodowki-i-zamrazarki/lodowki/lodowka-beko-mcne366e40zxbn-harvestfresh-nofrost-a"
"132",37,"Lodówka BEKO MCNE366E40ZXBN HarvestFresh Nofrost A++",1799.99,"electro.pl","https://www.electro.pl/agd/lodowki-i-zamrazarki/lodowki/lodowka-beko-mcne366e40zxbn-harvestfresh-nofrost-a"
"133",38,"Lodówka HAIER HRF-521DS6 Side by side Nofrost",2599.99,"avans.pl","https://www.avans.pl/agd/lodowki-i-zamrazarki/lodowki/lodowka-haier-hrf-521ds6-side-by-side-nofrost"
"134",38,"Lodówka HAIER HRF-521DS6 Side by side Nofrost",2599.99,"electro.pl","https://www.electro.pl/agd/lodowki-i-zamrazarki/lodowki/lodowka-haier-hrf-521ds6-side-by-side-nofrost"
"135",38,"Lodówka HAIER HRF-521DS6 Side by side Nofrost",2599.99,"mediaexpert.pl","https://www.mediaexpert.pl/agd/lodowki-i-zamrazarki/lodowki/lodowka-haier-hrf-521ds6-side-by-side-nofrost"
"136",39,"Lodówka HAIER HRF-521DN6 Side by side Nofrost",2799.99,"avans.pl","https://www.avans.pl/agd/lodowki-i-zamrazarki/lodowki/lodowka-haier-hrf-521dn6-side-by-side-nofrost"
"137",39,"Lodówka HAIER HRF-521DN6 Side by side Nofrost",2799.99,"electro.pl","https://www.electro.pl/agd/lodowki-i-zamrazarki/lodowki/lodowka-haier-hrf-521dn6-side-by-side-nofrost"
"138",39,"Lodówka HAIER HRF-521DN6 Side by side Nofrost",2799.99,"mediaexpert.pl","https://www.mediaexpert.pl/agd/lodowki-i-zamrazarki/lodowki/lodowka-haier-hrf-521dn6-side-by-side-nofrost"
"139",40,"Lodówka HAIER HRF-521DM6 Side by side Nofrost",2219,"neonet.pl","https://www.neonet.pl/lodowki-i-zamrazarki/haier-hrf-521dm6.html"
"140",40,"Lodówka HAIER HRF-521DM6 Side by side Nofrost",2220.8,"mediaexpert.pl","https://www.mediaexpert.pl/agd/lodowki-i-zamrazarki/lodowki/lodowka-haier-hrf-521dm6-side-by-side-nofrost"
"141",40,"Lodówka HAIER HRF-521DM6 Side by side Nofrost",2272.3,"avans.pl","https://www.electro.pl/agd/lodowki-i-zamrazarki/lodowki/lodowka-haier-hrf-521dm6-side-by-side-nofrost"
"142",40,"Lodówka HAIER HRF-521DM6 Side by side Nofrost",2272.3,"electro.pl","https://www.avans.pl/agd/lodowki-i-zamrazarki/lodowki/lodowka-haier-hrf-521dm6-side-by-side-nofrost"
"143",41,"Lodówka AMICA FK2415.3U Bia³a",899,"mediaexpert.pl","https://www.mediaexpert.pl/agd/lodowki-i-zamrazarki/lodowki/lodowka-amica-fk2415-3u-biala"
"144",41,"Lodówka AMICA FK2415.3U Bia³a",899,"neonet.pl","https://www.neonet.pl/lodowki-i-zamrazarki/amica-fk2415-3u.html"
"145",41,"Lodówka AMICA FK2415.3U Bia³a",899,"mediamarkt.pl","https://www.electro.pl/agd/lodowki-i-zamrazarki/lodowki/lodowka-amica-fk2415-3u-biala"
"146",41,"Lodówka AMICA FK2415.3U Bia³a",899,"avans.pl","https://mediamarkt.pl/agd/lodowka-amica-fk2415-3u"
"147",41,"Lodówka AMICA FK2415.3U Bia³a",899,"electro.pl","https://www.avans.pl/agd/lodowki-i-zamrazarki/lodowki/lodowka-amica-fk2415-3u-biala"
"148",41,"Lodówka AMICA FK2415.3U Bia³a",999,"euro.com.pl","https://www.euro.com.pl/lodowki/amica-fk2415-3u.bhtml"
"149",42,"Lodówka HAIER A3FE632CSJ Nofrost Srebrna",1875,"avans.pl","https://www.avans.pl/agd/lodowki-i-zamrazarki/lodowki/lodowka-haier-a3fe632csj-nofrost-srebrna"
"150",42,"Lodówka HAIER A3FE632CSJ Nofrost Srebrna",1875,"electro.pl","https://www.electro.pl/agd/lodowki-i-zamrazarki/lodowki/lodowka-haier-a3fe632csj-nofrost-srebrna"
"151",42,"Lodówka HAIER A3FE632CSJ Nofrost Srebrna",1899.99,"mediaexpert.pl","https://www.mediaexpert.pl/agd/lodowki-i-zamrazarki/lodowki/lodowka-haier-a3fe632csj-nofrost-srebrna"
"152",43,"Lodówka WHIRLPOOL W9 931D IX H Nofrost Srebrna",2599.99,"avans.pl","https://www.avans.pl/agd/lodowki-i-zamrazarki/lodowki/lodowka-whirlpool-w9-931d-ix-h-nofrost-srebrna"
"153",43,"Lodówka WHIRLPOOL W9 931D IX H Nofrost Srebrna",2599.99,"electro.pl","https://www.electro.pl/agd/lodowki-i-zamrazarki/lodowki/lodowka-whirlpool-w9-931d-ix-h-nofrost-srebrna"
"154",43,"Lodówka WHIRLPOOL W9 931D IX H Nofrost Srebrna",2599.99,"mediaexpert.pl","https://www.mediaexpert.pl/agd/lodowki-i-zamrazarki/lodowki/lodowka-whirlpool-w9-931d-ix-h-nofrost-srebrna"
